time,temp,pd1,pd2
0.0,20.0,52.83695779552865,19.644503322972874
0.01,20.00314159244688,46.312494275744434,30.835739999873947
0.02,20.00628318365351,62.15833954877619,28.292469638794085
0.03,20.009424772379642,44.09952375226412,30.755894593599546
0.04,20.01256635738502,49.80749845489925,30.597877001023054
0.05,20.015707937429397,62.21994706017063,25.99095886187208
0.06,20.01884951127253,47.05130009654514,32.03297645462848
0.07,20.021991077674176,47.60654316325299,26.094268360565206
0.08,20.025132635394094,46.3183576311694,23.653142400647813
0.09,20.028274183192046,37.74288553513463,39.738441736090195
0.1,20.031415719827795,74.6701859688811,37.48805214792867
0.11,20.034557244061116,36.96854225775061,34.341986899239934
0.12,20.037698754651785,53.41461105629298,30.650916613666332
0.13,20.040840250359583,50.43529628192057,29.509505760076475
0.14,20.043981729944296,56.36498019262039,34.53622680412657
0.15,20.04712319216572,50.82162235262343,33.69463991245774
0.16,20.050264635783652,51.460582486819206,32.51128116787277
0.17,20.053406059557904,42.540734552981824,23.041872134010042
0.18,20.05654746224829,46.04522232165925,21.78675969853863
0.19,20.05968884261463,54.655639394447704,31.25737380552027
0.2,20.062830199416762,65.0249647598115,33.95863441873002
0.21,20.065971531414526,59.02249565432566,31.26817413580871
0.22,20.069112837367776,55.18593399335695,28.85801083027947
0.23,20.072254116036373,55.34392643700029,33.52815076518504
0.24,20.075395366180185,62.25336437764824,25.07908721088585
0.25,20.078536586559103,55.218486190930875,27.523099402243385
0.26,20.08167777593302,56.50150789696253,18.540724174029386
0.27,20.084818933061847,64.13287372244413,25.958820589762436
0.28,20.087960056705498,54.49635162312403,32.65760982105403
0.29,20.091101145623913,42.79961513986278,27.728240462900906
0.3,20.094242198577042,47.93385983509791,23.248203654042783
0.31,20.09738321432484,55.12122781688541,31.45313586843559
0.32,20.100524191627287,61.32736919571517,37.68712572741298
0.33,20.103665129244376,63.25916594437557,23.901663768744147
0.34,20.106806025936116,48.321524232497175,26.30955799613183
0.35,20.109946880462527,31.337248553233206,31.44521290753248
0.36,20.113087691583647,36.44523567533495,27.23874976706512
0.37,20.116228458059542,67.52691046859799,32.98757853849974
0.38,20.11936917865028,23.484216820919034,31.224135766669406
0.39,20.122509852115957,45.52364187777932,31.274670732541143
0.4,20.125650477216688,62.27346153489612,38.30318423855814
0.41,20.128791052712597,53.343284519195876,22.898600582907964
0.42,20.13193157736384,54.230090293502464,24.9545571775528
0.43,20.135072049930585,48.4239132187728,34.28097896458664
0.44,20.138212469173023,43.765938037340675,31.78440853347825
0.45,20.141352833851368,51.11025504562854,29.42261982087957
0.46,20.14449314272585,51.121424501545256,34.08206070934773
